Genome,Ku_IDs,LigD_IDs,Plasmid_IDs,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,NHEJ_status_verbose,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Architecture,genome_clean
GCF_000069225.1_ASM6922v1,WP_012298555.1:9-189,NA-LigD,NC_010399.1@NC_010408.1,NC_010407.1,2,1,-,WP_012298555.1,-,-,-,NA-Lig,Ku-only,1,31964,28447,Clavibacter michiganensis subsp. sepedonicus plasmid pCSL1,Actinobacteria,Actinobacteria-Micrococcales,3258645,2,73,No-LigD-domains,GCF_000069225
GCF_000445995.2_ASM44599v2,NA-Ku,NA-LigD,NC_022092.1,NC_022080.4,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1921421,1921421,Geobacillus genomosp. 3 strain JF8 plasmid pBt40,Firmicutes,Firmicutes-Bacilli,3446630,10,53,No-LigD-domains,GCF_000445995
GCF_000063605.1_ASM6360v1,NA-Ku,NA-LigD,NA-plasmid,NC_009497.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,347257,2110,Mycoplasma agalactiae PG2 chromosome,Tenericutes,Tenericutes-Mollicutes,877438,2,30,No-LigD-domains,GCF_000063605
GCF_000212395.1_ASM21239v1,NA-Ku,"WP_052296034.1,lig:246-531",NA-plasmid,NC_015499.1,0,1,-,-,NA-Ku,-,WP_052296034.1,-,Lig-only,2,747365,184064,Thermodesulfobium narugense DSM 14796,Firmicutes,Firmicutes-Clostridia,1898865,2,34,LigD-only-lig-no-pol,GCF_000212395
GCF_000024505.1_ASM2450v1,NA-Ku,NA-LigD,NA-plasmid,NC_013532.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,574556,769,Anaplasma centrale str. Israel,Proteobacteria,Proteobacteria-Alphaproteobacteria,1206806,1,50,No-LigD-domains,GCF_000024505
GCF_000015105.1_ASM1510v1,NA-Ku,NA-LigD,NA-plasmid,NC_008610.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,413404,386487,Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica),Proteobacteria,Proteobacteria-Gammaproteobacteria,1160782,1,34,No-LigD-domains,GCF_000015105
GCF_000013345.1_ASM1334v1,WP_011438179.1:9-182,NA-LigD,NA-plasmid,NC_007777.1,0,1,-,WP_011438179.1,-,-,-,NA-Lig,Ku-only,1,106370,106370,Frankia sp. CcI3,Actinobacteria,Actinobacteria-Frankiales,5433628,2,70,No-LigD-domains,GCF_000013345
GCF_000412695.1_ASM41269v1,NA-Ku,NA-LigD,NC_021506.1,NC_021499.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1245471,53412,Pseudomonas resinovorans NBRC 106553 plasmid pCAR1.3 DNA,Proteobacteria,Proteobacteria-Gammaproteobacteria,6285863,5,66,No-LigD-domains,GCF_000412695
GCF_001628715.1_ASM162871v1,NA-Ku,NA-LigD,NZ_CP011121.1@NZ_CP011122.1@NZ_CP011123.1,NZ_CP011120.1,3,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1633874,1633874,Acetobacter sp. SLV-7 plasmid unnamed3,Proteobacteria,Proteobacteria-Alphaproteobacteria,2799488,5,52,No-LigD-domains,GCF_001628715
GCF_000967425.1_ASM96742v1,WP_052639537.1:18-182;WP_052639539.1:13-176,"WP_052642497.1,lig:46-343;WP_052637684.1,lig:46-336;WP_052641306.1,lig:46-338;WP_052639538.1,pe:5-157|lig:237-536|pol:558-800;WP_052637426.1,lig:230-477;WP_052638831.1,lig:46-338",NZ_FO082821.1@NZ_FO082822.1,NZ_FO082820.1,2,1,-,WP_052639537.1;WP_052639539.1,-,WP_052642497.1,WP_052637426.1;WP_052637684.1;WP_052638831.1;WP_052639538.1;WP_052641306.1,-,Yes-NHEJ,3,1125847,1125847,Rhizobium sp. NT-26 plasmid NT26_p2,Proteobacteria,Proteobacteria-Alphaproteobacteria,4239731,3,62,Yes-NHEJ-all-same-prot,GCF_000967425
GCF_000812665.2_ASM81266v2,NA-Ku,NA-LigD,NZ_CP014328.1,NZ_CP014327.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1579316,1579316,Halocynthiibacter arcticus strain PAMC 20958 plasmid,Proteobacteria,Proteobacteria-Alphaproteobacteria,4329554,3,53,No-LigD-domains,GCF_000812665
GCF_000023905.1_ASM2390v1,NA-Ku,NA-LigD,NA-plasmid,NC_013192.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,523794,40542,Leptotrichia buccalis DSM 1135,Fusobacteria,Fusobacteria-Fusobacteriales,2465610,5,30,No-LigD-domains,GCF_000023905
GCF_001305595.1_ASM130559v1,NA-Ku,"WP_045582560.1,lig:225-466",NA-plasmid,NZ_CP012401.1@NZ_CP012402.1@NZ_CP012403.1@NZ_CP012404.1@NZ_CP012405.1@NZ_CP012406.1@NZ_CP012407.1@NZ_CP012408.1,0,8,-,-,NA-Ku,-,WP_045582560.1,-,Lig-only,2,528244,528244,Azospirillum thiophilum strain BV-S chromosome 8,Proteobacteria,Proteobacteria-Alphaproteobacteria,15135890,9,68,LigD-only-lig-no-pol,GCF_001305595
GCF_001021065.1_ASM102106v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP011546.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1072256,1072256,Corynebacterium uterequi strain DSM 45634,Actinobacteria,Actinobacteria-Corynebacteriales,2419437,5,65,No-LigD-domains,GCF_001021065
GCF_000024765.1_ASM2476v1,NA-Ku,NA-LigD,NA-plasmid,NC_013422.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,555778,927,Halothiobacillus neapolitanus c2,Proteobacteria,Proteobacteria-Gammaproteobacteria,2582886,2,55,No-LigD-domains,GCF_000024765
GCF_001687585.2_ASM168758v2,NA-Ku,NA-LigD,NA-plasmid,NZ_CP016537.2,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1215089,1215089,Planococcus halocryophilus strain DSM 24743,Firmicutes,Firmicutes-Bacilli,3424893,10,40,No-LigD-domains,GCF_001687585
GCF_000020625.1_ASM2062v1,NA-Ku,NA-LigD,NC_011061.1,NC_011059.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,290512,1102,Prosthecochloris aestuarii DSM 271 plasmid pPAES01,Chlorobi,Chlorobi-Chlorobia,2512923,1,50,No-LigD-domains,GCF_000020625
GCF_000250655.1_ASM25065v1,WP_014371317.1:9-192;WP_013920995.1:9-191,"WP_014372482.1,pol:27-265;WP_014371527.1,lig:23-293;WP_014369638.1,lig:242-280;WP_014372481.1,lig:15-308",NA-plasmid,NC_016935.1,0,1,-,WP_014371317.1;WP_013920995.1,-,-,WP_014369638.1;WP_014371527.1;WP_014372481.1;WP_014372482.1,-,Yes-NHEJ,3,1116391,61624,Paenibacillus mucilaginosus 3016,Firmicutes,Firmicutes-Bacilli,8739048,14,58,Yes-NHEJ-lig-pol-diff-prot,GCF_000250655
GCF_000024845.1_ASM2484v1,NA-Ku,NA-LigD,NC_013502.1,NC_013501.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,518766,29549,Rhodothermus marinus DSM 4252 plasmid pRMAR01,Bacteroidetes,Bacteroidetes-Bacteroidetes Order II. Incertae sedis,3261604,1,65,No-LigD-domains,GCF_000024845
GCF_001721645.1_ASM172164v1,WP_069380430.1:9-181,"WP_069382615.1,pe:4-165|lig:260-567|pol:630-872;WP_069380429.1,pe:5-165|lig:240-545|pol:587-828;WP_069380644.1,lig:222-484;WP_069381680.1,pe:5-165|lig:275-580|pol:630-873",NA-plasmid,NZ_CP017141.1,0,1,-,WP_069380430.1,-,-,WP_069380429.1;WP_069380644.1;WP_069382615.1;WP_069381680.1,-,Yes-NHEJ,3,430522,430522,Pedobacter steynii strain DX4,Bacteroidetes,Bacteroidetes-Sphingobacteriia,6581659,4,41,Yes-NHEJ-all-same-prot,GCF_001721645
GCF_001465795.2_ASM146579v2,NA-Ku,NA-LigD,NA-plasmid,NZ_CP013659.2,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,200991,200991,Planococcus rifietoensis strain M8,Firmicutes,Firmicutes-Bacilli,3505011,9,48,No-LigD-domains,GCF_001465795
GCF_000331735.1_ASM33173v1,WP_015352078.1:10-172,"WP_015346230.1,lig:227-307",NA-plasmid,NC_020126.1,0,1,-,WP_015352078.1,-,-,WP_015346230.1,-,Yes-NHEJ,3,1278073,83455,Myxococcus stipitatus DSM 14675,Proteobacteria,Proteobacteria-Deltaproteobacteria,10350586,3,69,Yes-NHEJ-lig-no-pol,GCF_000331735
GCF_000007205.1_ASM720v1,NA-Ku,NA-LigD,NA-plasmid,NC_005043.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,182082,83558,Chlamydophila pneumoniae TW-183,Chlamydiae,Chlamydiae-Chlamydiales,1225935,1,41,No-LigD-domains,GCF_000007205
GCF_000412675.1_ASM41267v1,WP_016500129.1:10-195,"WP_016500124.1,pe:6-160|lig:213-513|pol:536-776;WP_016498230.1,lig:231-420",NA-plasmid,NC_021505.1,0,1,-,WP_016500129.1,-,-,WP_016498230.1;WP_016500124.1,-,Yes-NHEJ,3,1211579,303,Pseudomonas putida NBRC 14164 DNA,Proteobacteria,Proteobacteria-Gammaproteobacteria,6156701,7,62,Yes-NHEJ-all-same-prot,GCF_000412675
GCF_000176915.2_ASM17691v2,NA-Ku,NA-LigD,NA-plasmid,NC_014844.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,643562,182210,Desulfovibrio aespoeensis Aspo-2,Proteobacteria,Proteobacteria-Deltaproteobacteria,3629109,2,63,No-LigD-domains,GCF_000176915
GCF_000010185.1_ASM1018v1,NA-Ku,NA-LigD,NC_010371.1,NC_010376.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,334413,1260,Finegoldia magna ATCC 29328 plasmid pFMC DNA,Firmicutes,Firmicutes-Tissierellia,1797577,4,32,No-LigD-domains,GCF_000010185
GCF_000026205.1_ASM2620v1,NA-Ku,NA-LigD,NA-plasmid,NC_011047.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,37692,37692,Candidatus Phytoplasma mali strain AT complete chromosome,Tenericutes,Tenericutes-Mollicutes,601943,2,21,No-LigD-domains,GCF_000026205
GCF_000008545.1_ASM854v1,NA-Ku,NA-LigD,NA-plasmid,NC_000853.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,243274,2336,Thermotoga maritima MSB8 chromosome,Thermotogae,Thermotogae-Thermotogales,1860725,1,46,No-LigD-domains,GCF_000008545
GCF_000144625.1_ASM14462v1,WP_013274226.1:9-186,"WP_013272109.1,lig:19-303;WP_013274227.1,lig:24-304",NA-plasmid,NC_014376.1,0,1,-,WP_013274226.1,-,-,WP_013272109.1;WP_013274227.1,-,Yes-NHEJ,3,610130,84030,Clostridium saccharolyticum WM1,Firmicutes,Firmicutes-Clostridia,4662871,6,45,Yes-NHEJ-lig-no-pol,GCF_000144625
GCF_000023825.1_ASM2382v1,WP_015807537.1:9-182,"WP_015807527.1,pe:4-165|lig:219-526|pol:586-828;WP_015808378.1,lig:222-484",NA-plasmid,NC_013061.1,0,1,-,WP_015807537.1,-,-,WP_015807527.1;WP_015808378.1,-,Yes-NHEJ,3,485917,984,Pedobacter heparinus DSM 2366,Bacteroidetes,Bacteroidetes-Sphingobacteriia,5167383,3,42,Yes-NHEJ-all-same-prot,GCF_000023825
GCF_000196735.1_ASM19673v1,WP_013352014.1:9-175,"WP_013351547.1,lig:17-197;WP_013352013.1,lig:9-225|pol:326-563",NA-plasmid,NC_014551.1,0,1,-,WP_013352014.1,-,-,WP_013351547.1;WP_013352013.1,-,Yes-NHEJ,3,692420,1390,Bacillus amyloliquefaciens DSM7 complete genome,Firmicutes,Firmicutes-Bacilli,3980199,10,46,Yes-NHEJ-lig-pol-same_prot,GCF_000196735
GCF_001854225.1_ASM185422v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP015208.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,535712,535712,Candidatus Rhodoluna planktonica strain MWH-Dar1,Actinobacteria,Actinobacteria-Micrococcales,1424506,1,52,No-LigD-domains,GCF_001854225
GCF_000015725.1_ASM1572v1,NA-Ku,"WP_011831409.1,pe:18-173|lig:239-545|pol:571-812;WP_011828958.1,lig:139-237;WP_011829117.1,lig:229-428",NC_008826.1,NC_008825.1,1,1,-,-,NA-Ku,WP_011831409.1,WP_011828958.1;WP_011829117.1,-,Lig-only,2,420662,105560,Methylibium petroleiphilum PM1 plasmid RPME01,Proteobacteria,Proteobacteria-Betaproteobacteria,4044195,1,69,LigD-only-all-same-prot,GCF_000015725
GCF_000012305.1_ASM1230v1,NA-Ku,NA-LigD,NA-plasmid,NC_007204.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,259536,334543,Psychrobacter arcticus 273-4,Proteobacteria,Proteobacteria-Gammaproteobacteria,2650701,4,43,No-LigD-domains,GCF_000012305
GCF_001021045.1_ASM102104v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP011545.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,136857,136857,Corynebacterium testudinoris strain DSM 44614,Actinobacteria,Actinobacteria-Corynebacteriales,2721226,4,63,No-LigD-domains,GCF_001021045
GCF_000277795.1_ASM27779v1,NA-Ku,NA-LigD,NA-plasmid,NC_018149.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1197325,65123,Mycoplasma wenyonii str. Massachusetts,Tenericutes,Tenericutes-Mollicutes,650228,1,34,No-LigD-domains,GCF_000277795
GCF_000013885.1_ASM1388v1,WP_011509044.1:13-196;WP_011512203.1:13-196;WP_011512236.1:13-196;WP_011512228.1:13-179,"WP_011509147.1,lig:233-486;WP_011512229.1,pe:8-161|lig:262-561|pol:603-846;WP_011512227.1,lig:6-314;WP_011512187.1,lig:27-311;WP_041357608.1,pe:8-162|lig:273-562|pol:612-857",NC_007959.1@NC_007960.1@NC_007961.1,NC_007964.1,3,1,-,WP_011509044.1;WP_011512203.1;WP_011512228.1;WP_011512236.1,-,-,WP_041357608.1;WP_011509147.1;WP_011512187.1;WP_011512227.1;WP_011512229.1,-,Yes-NHEJ,3,323097,912,Nitrobacter hamburgensis X14 plasmid 3,Proteobacteria,Proteobacteria-Alphaproteobacteria,4406967,1,62,Yes-NHEJ-all-same-prot,GCF_000013885
GCF_000024985.1_ASM2498v1,NA-Ku,"WP_012870801.1,pol:19-263",NA-plasmid,NC_013523.1@NC_013524.1,0,2,-,-,NA-Ku,-,WP_012870801.1,-,No-NHEJ,0,479434,2057,Sphaerobacter thermophilus DSM 20745 chromosome 2,Chloroflexi,Chloroflexi-Sphaerobacteridae,6734797,2,68,No-LigD-domains,GCF_000024985
GCF_000389635.1_ASM38963v1,NA-Ku,NA-LigD,NC_021183.1,NC_021182.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,86416,1501,Clostridium pasteurianum BC1 plasmid pCLOPA01,Firmicutes,Firmicutes-Clostridia,4990707,9,31,No-LigD-domains,GCF_000389635
GCF_000828915.1_ASM82891v1,NA-Ku,NA-LigD,NZ_AP014570.1,NZ_AP014569.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1458426,1458426,Comamonadaceae bacterium B1 plasmid pSMB1 DNA,Proteobacteria,Proteobacteria-Betaproteobacteria,2606868,2,66,No-LigD-domains,GCF_000828915
GCF_000725385.1_ASM72538v1,NA-Ku,"WP_019464925.1,pol:3-244",NA-plasmid,NZ_CP008884.1,0,1,-,-,NA-Ku,-,WP_019464925.1,-,No-NHEJ,0,1217721,231455,Dyella japonica A8,Proteobacteria,Proteobacteria-Gammaproteobacteria,4831185,2,65,No-LigD-domains,GCF_000725385
GCF_000021725.1_ASM2172v1,NA-Ku,NA-LigD,NA-plasmid,NC_012115.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,598659,244787,Nautilia profundicola AmH,Proteobacteria,Proteobacteria-Epsilonproteobacteria,1676444,4,34,No-LigD-domains,GCF_000021725
GCF_000017425.1_ASM1742v1,NA-Ku,NA-LigD,NC_009673.1,NC_009674.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,315749,580165,Bacillus cereus subsp. cytotoxis NVH 391-98 plasmid pBC9801,Firmicutes,Firmicutes-Bacilli,4087024,13,36,No-LigD-domains,GCF_000017425
GCF_000024885.1_ASM2488v1,NA-Ku,NA-LigD,NA-plasmid,NC_013512.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,525898,65553,Sulfurospirillum deleyianum DSM 6946,Proteobacteria,Proteobacteria-Epsilonproteobacteria,2306351,3,39,No-LigD-domains,GCF_000024885
GCF_001553625.1_ASM155362v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP014230.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,888061,132132,Desulfomicrobium orale DSM 12838,Proteobacteria,Proteobacteria-Deltaproteobacteria,2783374,2,59,No-LigD-domains,GCF_001553625
GCF_001021025.1_ASM102102v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP011541.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1050174,1050174,Corynebacterium epidermidicanis strain DSM 45586,Actinobacteria,Actinobacteria-Corynebacteriales,2692072,4,58,No-LigD-domains,GCF_001021025
GCF_001281385.1_ASM128138v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP006911.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1125411,1427364,Candidatus Thioglobus singularis PS1,Proteobacteria,Proteobacteria-Gammaproteobacteria,1714148,1,37,No-LigD-domains,GCF_001281385
GCF_001645685.2_ASM164568v2,WP_064467364.1:9-174,"WP_064467363.1,lig:11-261|pol:337-564",NZ_CP017081.1,NZ_CP017080.1,1,1,-,WP_064467364.1,-,-,WP_064467363.1,-,Yes-NHEJ,3,264697,264697,Bacillus muralis strain G25-68 plasmid pG25-68,Firmicutes,Firmicutes-Bacilli,4919373,9,42,Yes-NHEJ-lig-pol-same_prot,GCF_001645685
GCF_000400935.1_ASM40093v1,NA-Ku,NA-LigD,NA-plasmid,NC_021280.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1276227,216933,Spiroplasma chrysopicola DF-1,Tenericutes,Tenericutes-Mollicutes,1123322,1,29,No-LigD-domains,GCF_000400935
GCF_000025925.1_ASM2592v1,NA-Ku,NA-LigD,NA-plasmid,NC_014033.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,264731,839,Prevotella ruminicola 23,Bacteroidetes,Bacteroidetes-Bacteroidia,3619559,4,48,No-LigD-domains,GCF_000025925
GCF_000321415.2_ASM32141v2,NA-Ku,NA-LigD,NA-plasmid,NC_019902.2,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1255043,186931,Thioalkalivibrio nitratireducens DSM 14787,Proteobacteria,Proteobacteria-Gammaproteobacteria,4002350,1,66,No-LigD-domains,GCF_000321415
GCF_000014725.1_ASM1472v1,WP_011640536.1:9-192,"WP_049750105.1,pol:24-268;WP_011640537.1,lig:22-299",NA-plasmid,NC_008346.1,0,1,-,WP_011640536.1,-,-,WP_011640537.1;WP_049750105.1,-,Yes-NHEJ,3,335541,863,Syntrophomonas wolfei subsp. wolfei str. Goettingen G311,Firmicutes,Firmicutes-Clostridia,2936195,3,45,Yes-NHEJ-lig-pol-diff-prot,GCF_000014725
GCF_000013985.1_ASM1398v1,NA-Ku,"WP_011540604.1,lig:242-486",NC_008036.1,NC_008048.1,1,1,-,-,NA-Ku,-,WP_011540604.1,-,Lig-only,2,317655,117207,Sphingopyxis alaskensis RB2256 F plasmid,Proteobacteria,Proteobacteria-Alphaproteobacteria,3345170,1,66,LigD-only-lig-no-pol,GCF_000013985
GCF_000196015.1_ASM19601v1,NA-Ku,NA-LigD,NC_007974.2@NC_007972.2@NC_007971.2,NC_007973.1,3,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,266264,119219,Cupriavidus metallidurans CH34 plasmid pMOL30,Proteobacteria,Proteobacteria-Betaproteobacteria,3928089,4,64,No-LigD-domains,GCF_000196015
GCF_000247605.1_ASM24760v1,NA-Ku,NA-LigD,NA-plasmid,NC_016894.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,931626,33952,Acetobacterium woodii DSM 1030,Firmicutes,Firmicutes-Clostridia,4044777,5,39,No-LigD-domains,GCF_000247605
GCF_000757825.1_ASM75782v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP009451.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,158822,158822,Cedecea neteri strain SSMD04,Proteobacteria,Proteobacteria-Gammaproteobacteria,4876443,7,55,No-LigD-domains,GCF_000757825
GCF_000612505.1_ASM61250v1,WP_025333498.1:9-192,"WP_025333497.1,lig:14-297;WP_051529741.1,lig:42-140;WP_025333496.1,pol:16-253;WP_025336463.1,lig:12-284",NA-plasmid,NZ_CP004078.1,0,1,-,WP_025333498.1,-,-,WP_025333496.1;WP_025333497.1;WP_051529741.1;WP_025336463.1,-,Yes-NHEJ,3,1268072,365617,Paenibacillus sabinae T27,Firmicutes,Firmicutes-Bacilli,5270569,9,53,Yes-NHEJ-lig-pol-diff-prot,GCF_000612505
GCF_000266905.1_ASM26690v1,WP_014817477.1:9-192,"WP_014818035.1,lig:142-335;WP_051053675.1,lig:3-193;WP_014818034.1,pol:15-262;WP_014815036.1,lig:207-447;WP_014814912.1,pol:11-248;WP_014818040.1,lig:15-263;WP_041782212.1,pe:293-434|lig:464-749|pol:8-253;WP_014813636.1,pol:14-257",NC_018022.1@NC_018023.1,NC_018027.1,2,1,-,WP_014817477.1,-,WP_051053675.1,WP_014813636.1;WP_014814912.1;WP_014815036.1;WP_041782212.1;WP_014818034.1;WP_014818035.1;WP_014818040.1,-,Yes-NHEJ,3,710421,1800,Mycobacterium chubuense NBB4 plasmid pMYCCH.02,Actinobacteria,Actinobacteria-Corynebacteriales,5583723,2,69,Yes-NHEJ-all-same-prot,GCF_000266905
GCF_000007665.1_ASM766v1,WP_011186363.1:9-186,NA-LigD,NA-plasmid,NC_006087.1,0,1,-,WP_011186363.1,-,-,-,NA-Lig,Ku-only,1,281090,1575,Leifsonia xyli subsp. xyli str. CTCB07,Actinobacteria,Actinobacteria-Micrococcales,2584158,1,68,No-LigD-domains,GCF_000007665
GCF_000021485.1_ASM2148v1,NA-Ku,NA-LigD,NA-plasmid,NC_011761.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,243159,920,Acidithiobacillus ferrooxidans ATCC 23270,Proteobacteria,Proteobacteria-Acidithiobacillia,2982397,2,59,No-LigD-domains,GCF_000021485
GCF_001310085.1_ASM131008v1,NA-Ku,"WP_062544318.1,pol:15-258",NZ_CP012644.1@NZ_CP012645.1,NZ_CP012643.1,2,1,-,-,NA-Ku,-,WP_062544318.1,-,No-NHEJ,0,512763,512763,Rufibacter tibetensis strain 1351 plasmid 2,Bacteroidetes,Bacteroidetes-Cytophagia,5165513,4,47,No-LigD-domains,GCF_001310085
