Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Genome assembly ID
UP000095697	Candidatus Mikella endobia	1778264	273	C:46.1%[S:45.9%,D:0.2%],F:0.2%,M:53.6%,n:440	Unknown	GCA_900048045.1
UP000214566	Thiomonas delicata (Thiomonas cuprina)	364030	3683	C:98.1%[S:97.4%,D:0.7%],F:0.6%,M:1.3%,n:688	Unknown	GCA_900088825.1
UP000221860	Limimaricola cinnabarinus	1125964	3547	C:98.3%[S:97.5%,D:0.8%],F:0.5%,M:1.2%,n:833	Close to standard (low value)	GCA_002723615.1
UP000238954	Sphingopyxis lindanitolerans	2054227	4026	C:99.5%[S:99.4%,D:0.1%],F:0.1%,M:0.4%,n:1018	Unknown	GCA_002993885.1
UP000242753	Candidatus Westeberhardia cardiocondylae	1594731	372	C:64.3%[S:64.3%,D:0.0%],F:1.1%,M:34.5%,n:440	Outlier (low value)	GCA_001242845.1
UP000243633	Buchnera aphidicola subsp. Tuberolachnus salignus	98804	382	C:64.8%[S:64.8%,D:0.0%],F:1.1%,M:34.1%,n:440	Unknown	GCA_900016785.1
UP000256856	Candidatus Purcelliella pentastirinorum	472834	427	C:66.8%[S:66.8%,D:0.0%],F:1.6%,M:31.6%,n:440	Outlier (low value)	GCA_003391335.1
UP000266796	Candidatus Kinetoplastidibacterium kentomonadis	1576550	670	C:73.5%[S:73.5%,D:0.0%],F:1.1%,M:25.5%,n:569	Unknown	GCA_003072465.1
UP000273022	Parashewanella spongiae	342950	3857	C:98.8%[S:98.5%,D:0.2%],F:0.0%,M:1.2%,n:820	Unknown	GCA_003676335.1
UP000274327	Brachybacterium paraconglomeratum	173362	3225	C:98.1%[S:98.0%,D:0.2%],F:0.4%,M:1.5%,n:537	Unknown	GCA_003994255.1
UP000274458	Candidatus Annandia adelgestsuga	1302411	285	C:47.0%[S:46.8%,D:0.2%],F:0.2%,M:52.7%,n:440	Unknown	GCA_003956045.1
UP000281474	Parashewanella curva	2338552	4117	C:98.3%[S:97.8%,D:0.5%],F:0.1%,M:1.6%,n:820	Unknown	GCA_003675895.1
UP000294462	Candidatus Erwinia haradaeae	1922217	630	C:86.4%[S:86.1%,D:0.2%],F:0.5%,M:13.2%,n:440	Unknown	GCA_900698965.1
UP000296159	Brenneria corticis	2173106	4686	C:100.0%[S:99.8%,D:0.2%],F:0.0%,M:0.0%,n:440	Unknown	GCA_003115855.1
UP000298603	Buchnera aphidicola (Therioaphis trifolii)	1241884	389	C:66.6%[S:66.4%,D:0.2%],F:1.4%,M:32.0%,n:440	Unknown	GCA_005080705.1
UP000298636	Buchnera aphidicola (Stegophylla sp.)	2315800	354	C:61.8%[S:61.6%,D:0.2%],F:1.4%,M:36.8%,n:440	Unknown	GCA_005080785.1
UP000298677	Buchnera aphidicola (Anoecia oenotherae)	1241833	444	C:70.7%[S:70.5%,D:0.2%],F:1.4%,M:28.0%,n:440	Unknown	GCA_005080765.1
UP000298782	Buchnera aphidicola (Thelaxes californica)	1315998	455	C:71.8%[S:71.6%,D:0.2%],F:0.9%,M:27.3%,n:440	Unknown	GCA_005080825.1
UP000315388	Brucella gallinifaecis	215590	3370	C:99.7%[S:99.7%,D:0.0%],F:0.0%,M:0.3%,n:639	Close to standard (high value)	GCA_006476605.1
UP000315816	Aliiroseovarius halocynthiae	985055	3251	C:99.6%[S:99.5%,D:0.1%],F:0.0%,M:0.4%,n:833	Outlier (low value)	GCA_007004645.1
UP000317544	Buchnera aphidicola (Nipponaphis monzeni)	2495405	441	C:73.4%[S:73.2%,D:0.2%],F:0.9%,M:25.7%,n:440	Unknown	GCA_006741185.1
UP000510842	Candidatus Portiera aleyrodidarum	91844	266	C:25.5%[S:25.5%,D:0.0%],F:0.6%,M:73.8%,n:619	Unknown	GCA_902713755.1
UP000683585	Candidatus Profftia tarda	1177216	645	C:82.7%[S:82.0%,D:0.7%],F:0.9%,M:16.4%,n:440	Unknown	GCA_904848675.1
UP000000211	Thermus oshimai JL-2	751945	2420	C:87.1%[S:87.1%,D:0.0%],F:5.6%,M:7.3%,n:124	Unknown	GCA_000309885.1
UP000000212	Carnobacterium maltaromaticum LMA28	1234679	3539	C:98.5%[S:95.5%,D:3.0%],F:1.5%,M:0.0%,n:402	Unknown	GCA_000317975.2
UP000000230	Enterobacter sp. (strain 638)	399742	4236	C:100.0%[S:99.8%,D:0.2%],F:0.0%,M:0.0%,n:440	Unknown	GCA_000016325.1
UP000000231	Polynucleobacter asymbioticus (strain DSM 18221 / CIP 109841 / QLW-P1DMWA-1) (Polynucleobacter necessarius subsp. asymbioticus)	312153	2074	C:94.0%[S:94.0%,D:0.0%],F:1.5%,M:4.5%,n:688	Unknown	GCA_000016345.1
UP000000233	Stutzerimonas stutzeri (strain A1501) (Pseudomonas stutzeri)	379731	4092	C:97.1%[S:97.1%,D:0.0%],F:0.9%,M:2.0%,n:782	Unknown	GCA_000013785.1
UP000000235	Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / JCM 13857 / NBRC 105044 / CNB-440)	369723	4522	C:98.6%[S:97.9%,D:0.7%],F:0.3%,M:1.0%,n:292	Outlier (low value)	GCA_000016425.1
UP000000238	Hahella chejuensis (strain KCTC 2396)	349521	6751	C:99.4%[S:99.2%,D:0.2%],F:0.3%,M:0.3%,n:619	Unknown	GCA_000012985.1
UP000000239	Chromohalobacter salexigens (strain ATCC BAA-138 / DSM 3043 / CIP 106854 / NCIMB 13768 / 1H11)	290398	3298	C:99.7%[S:99.4%,D:0.3%],F:0.0%,M:0.3%,n:619	Close to standard (low value)	GCA_000055785.1
UP000000245	Acidiphilium cryptum (strain JF-5)	349163	3521	C:98.2%[S:97.9%,D:0.3%],F:0.3%,M:1.5%,n:617	Unknown	GCA_000016725.1
UP000000247	Vesicomyosocius okutanii subsp. Calyptogena okutanii (strain HA)	412965	936	C:82.5%[S:82.2%,D:0.3%],F:1.1%,M:16.4%,n:366	Unknown	GCA_000010405.1
UP000000248	Dichelobacter nodosus (strain VCS1703A)	246195	1273	C:89.3%[S:89.3%,D:0.0%],F:1.1%,M:9.6%,n:366	Unknown	GCA_000015345.1
UP000000256	Caldicellulosiruptor saccharolyticus (strain ATCC 43494 / DSM 8903 / Tp8T 6331)	351627	2629	C:99.4%[S:99.4%,D:0.0%],F:0.2%,M:0.4%,n:476	Unknown	GCA_000016545.1
UP000000260	Cronobacter sakazakii (strain ATCC BAA-894) (Enterobacter sakazakii)	290339	4421	C:96.1%[S:95.5%,D:0.7%],F:0.7%,M:3.2%,n:440	Unknown	GCA_000017665.1
UP000000263	Roseiflexus castenholzii (strain DSM 13941 / HLO8)	383372	4324	C:100.0%[S:100.0%,D:0.0%],F:0.0%,M:0.0%,n:271	Unknown	GCA_000017805.1
UP000000268	Acaryochloris marina (strain MBIC 11017)	329726	8172	C:98.6%[S:95.8%,D:2.8%],F:0.0%,M:1.4%,n:788	Unknown	GCA_000018105.1
UP000000269	Alkaliphilus oremlandii (strain OhILAs) (Clostridium oremlandii (strain OhILAs))	350688	2828	C:98.9%[S:98.5%,D:0.4%],F:0.4%,M:0.8%,n:264	Unknown	GCA_000018325.1
UP000000270	Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / LMG 6465 / NBRC 14845 / NCIMB 13405 / ORS 571)	438753	4708	C:99.2%[S:98.0%,D:1.3%],F:0.2%,M:0.6%,n:639	Unknown	GCA_000010525.1
UP000000271	Bacillus selenitireducens (strain ATCC 700615 / DSM 15326 / MLS10)	439292	3231	C:98.7%[S:98.7%,D:0.0%],F:0.0%,M:1.3%,n:450	Unknown	GCA_000093085.1
UP000000272	Thermosediminibacter oceani (strain ATCC BAA-1034 / DSM 16646 / JW/IW-1228P)	555079	2151	C:93.5%[S:93.1%,D:0.4%],F:0.8%,M:5.7%,n:247	Unknown	GCA_000144645.1
UP000000276	Corynebacterium pseudotuberculosis (strain C231)	681645	2001	C:97.6%[S:97.6%,D:0.0%],F:0.1%,M:2.3%,n:743	Close to standard (low value)	GCA_000144675.2
UP000000310	Pseudopedobacter saltans (strain ATCC 51119 / DSM 12145 / JCM 21818 / CCUG 39354 / LMG 10337 / NBRC 100064 / NCIMB 13643) (Pedobacter saltans)	762903	3780	C:98.8%[S:98.7%,D:0.1%],F:0.0%,M:1.2%,n:1068	Unknown	GCA_000190735.2
UP000000322	Sanguibacter keddieii (strain ATCC 51767 / DSM 10542 / NCFB 3025 / ST-74)	446469	3710	C:99.1%[S:98.7%,D:0.4%],F:0.0%,M:0.9%,n:537	Unknown	GCA_000024925.1
UP000000323	Thermobaculum terrenum (strain ATCC BAA-798 / CCMEE 7001 / YNP1)	525904	2827	C:92.6%[S:92.6%,D:0.0%],F:0.4%,M:7.0%,n:271	Unknown	GCA_000025005.1
UP000000328	Amycolatopsis mediterranei (strain U-32)	749927	9204	C:99.3%[S:97.9%,D:1.4%],F:0.7%,M:0.0%,n:292	Unknown	GCA_000196835.1
UP000000329	Herbaspirillum seropedicae (strain SmR1)	757424	4732	C:98.8%[S:98.1%,D:0.7%],F:0.4%,M:0.7%,n:688	Unknown	GCA_000143225.1
UP000000332	Brachyspira pilosicoli (strain ATCC BAA-1826 / 95/1000)	759914	2301	C:94.6%[S:94.6%,D:0.0%],F:1.3%,M:4.2%,n:239	Unknown	GCA_000143725.1
UP000000333	Olsenella uli (strain ATCC 49627 / DSM 7084 / CCUG 31166 / CIP 109912 / JCM 12494 / LMG 11480 / NCIMB 702895 / VPI D76D-27C) (Lactobacillus uli)	633147	1739	C:99.8%[S:99.8%,D:0.0%],F:0.0%,M:0.2%,n:548	Unknown	GCA_000143845.1
UP000000343	Granulicella tundricola (strain ATCC BAA-1859 / DSM 23138 / MP5ACTX9)	1198114	4514	C:99.8%[S:99.2%,D:0.7%],F:0.0%,M:0.2%,n:601	Unknown	GCA_000178975.2
UP000000347	Caldicellulosiruptor obsidiansis (strain ATCC BAA-2073 / JCM 16842 / OB47)	608506	2184	C:99.6%[S:99.6%,D:0.0%],F:0.0%,M:0.4%,n:476	Unknown	GCA_000145215.1
UP000000361	Paracoccus denitrificans (strain Pd 1222)	318586	5019	C:98.4%[S:97.2%,D:1.2%],F:0.0%,M:1.6%,n:833	Unknown	GCA_000203895.1
UP000000362	Leuconostoc mesenteroides subsp. mesenteroides (strain ATCC 8293 / DSM 20343 / BCRC 11652 / CCM 1803 / JCM 6124 / NCDO 523 / NBRC 100496 / NCIMB 8023 / NCTC 12954 / NRRL B-1118 / 37Y)	203120	2002	C:97.3%[S:96.8%,D:0.5%],F:0.2%,M:2.5%,n:402	Unknown	GCA_000014445.1
UP000000366	Methylibium petroleiphilum (strain ATCC BAA-1232 / LMG 22953 / PM1)	420662	4359	C:98.4%[S:97.4%,D:1.0%],F:0.3%,M:1.3%,n:688	Unknown	GCA_000015725.1
UP000000370	Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) (Clostridium phytofermentans)	357809	3891	C:99.6%[S:98.8%,D:0.8%],F:0.0%,M:0.4%,n:247	Close to standard (high value)	GCA_000018685.1
UP000000374	Verminephrobacter eiseniae (strain EF01-2)	391735	4911	C:97.8%[S:97.7%,D:0.1%],F:0.0%,M:2.2%,n:688	Unknown	GCA_000015565.1
UP000000376	Arcanobacterium haemolyticum (strain ATCC 9345 / DSM 20595 / CCM 5947 / CCUG 17215 / LMG 16163 / NBRC 15585 / NCTC 8452 / 11018)	644284	1717	C:89.7%[S:89.7%,D:0.0%],F:0.7%,M:9.6%,n:292	Close to standard (low value)	GCA_000092365.1
UP000000377	Streptomyces bingchenggensis (strain BCW-1)	749414	10019	C:98.2%[S:97.6%,D:0.6%],F:0.7%,M:1.1%,n:1579	Unknown	GCA_000092385.1
UP000000378	Syntrophothermus lipocalidus (strain DSM 12680 / TGB-C1)	643648	2311	C:95.8%[S:95.1%,D:0.8%],F:1.1%,M:3.0%,n:264	Unknown	GCA_000092405.1
UP000000379	Truepera radiovictrix (strain DSM 17093 / CIP 108686 / LMG 22925 / RQ-24)	649638	2924	C:88.7%[S:87.9%,D:0.8%],F:4.0%,M:7.3%,n:124	Unknown	GCA_000092425.1
UP000000383	Methylotenera versatilis (strain 301)	666681	2752	C:99.6%[S:99.5%,D:0.1%],F:0.0%,M:0.4%,n:738	Unknown	GCA_000093025.1
UP000000393	Nitrosococcus watsoni (strain C-113)	105559	2880	C:96.8%[S:95.1%,D:1.7%],F:0.0%,M:3.2%,n:652	Unknown	GCA_000143085.1
UP000000417	Symbiobacterium thermophilum (strain DSM 24528 / JCM 14929 / IAM 14863 / T)	292459	3313	C:96.6%[S:95.8%,D:0.8%],F:1.1%,M:2.3%,n:264	Unknown	GCA_000009905.1
UP000000419	Brucella melitensis biotype 1 (strain ATCC 23456 / CCUG 17765 / NCTC 10094 / 16M)	224914	3178	C:99.1%[S:99.1%,D:0.0%],F:0.6%,M:0.3%,n:639	Unknown	GCA_000007125.1
UP000000421	Bartonella henselae (strain ATCC 49882 / DSM 28221 / CCUG 30454 / Houston 1) (Rochalimaea henselae)	283166	1466	C:98.1%[S:98.1%,D:0.0%],F:0.0%,M:1.9%,n:639	Unknown	GCA_000046705.1
UP000000422	Wolinella succinogenes (strain ATCC 29543 / DSM 1740 / CCUG 13145 / JCM 31913 / LMG 7466 / NCTC 11488 / FDC 602W) (Vibrio succinogenes)	273121	2028	C:97.9%[S:97.8%,D:0.2%],F:0.3%,M:1.8%,n:628	Unknown	GCA_000196135.1
