GCF_ID,Ku_IDs,LigD_IDs,Plasmid_IDs,Chromosome_IDs,Plasmid_number,Chromosome_number,Ku_plasmid_IDs,Ku_chromosome_IDs,Ku_absent_status,LigD_plasmid_IDs,LigD_chromosome_IDs,LigD_absent_status,NHEJ_status_verbose,NHEJ_status_ordinal,NCBI_Taxon_ID,Tax_ID2,Bacteria_name,Phylum_name,Phylum_subphylum_name,Genome_size,rRNA_copy_number,GC_content,Conv_non-conv_ligd_status
GCF_001635895.1_ASM163589v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP013838.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1314,1314,Streptococcus pyogenes strain MGAS11027,Firmicutes,Firmicutes-Bacilli,1786874,5,39,No-LigD-domains
GCF_000800355.1_ASM80035v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP009421.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,487,487,Neisseria meningitidis strain NM3683,Proteobacteria,Proteobacteria-Betaproteobacteria,2199215,5,52,No-LigD-domains
GCF_000014185.1_ASM1418v1,NA-Ku,NA-LigD,NA-plasmid,NC_008148.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,266117,49319,Rubrobacter xylanophilus DSM 9941,Actinobacteria,Actinobacteria-Rubrobacteria,3225748,1,70,No-LigD-domains
GCF_000952935.1_CAAB7,NA-Ku,NA-LigD,NA-plasmid,NZ_LN554882.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,83555,83555,Chlamydophila abortus genome assembly CAAB7,Chlamydiae,Chlamydiae-Chlamydiales,1144467,1,40,No-LigD-domains
GCF_000731295.1_RG1141_Ch_pA_pB,WP_038545654.1:15-183;WP_038545660.1:13-179,"WP_038545657.1,pe:5-162|lig:238-537|pol:557-799;WP_038540884.1,lig:221-472",NZ_HG938356.1@NZ_HG938357.1,NZ_HG938355.1,2,1,-,WP_038545654.1;WP_038545660.1,-,-,WP_038540884.1;WP_038545657.1,-,Yes-NHEJ,3,1028801,399,Neorhizobium galegae plasmid pHAMBI1141b,Proteobacteria,Proteobacteria-Alphaproteobacteria,10837071,3,62,Yes-NHEJ-all-same-prot
GCF_000959505.1_ASM95950v1,WP_035975907.1:10-196,"WP_035975904.1,pe:8-180|lig:230-543|pol:625-867",NA-plasmid,NZ_CP009795.1@NZ_CP009793.1@NZ_CP009794.1,0,3,-,WP_035975907.1,-,-,WP_035975904.1,-,Yes-NHEJ,3,350701,152500,Burkholderia dolosa AU0158 chromosome 3,Proteobacteria,Proteobacteria-Betaproteobacteria,11983766,5,67,Yes-NHEJ-all-same-prot
GCF_001029645.1_ASM102964v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP011798.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,550,550,Enterobacter cloacae strain UW5,Proteobacteria,Proteobacteria-Gammaproteobacteria,4904981,8,54,No-LigD-domains
GCF_001298485.1_ASM129848v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP012522.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1352,1352,Enterococcus faecium strain 64/3,Firmicutes,Firmicutes-Bacilli,2572333,6,38,No-LigD-domains
GCF_000764555.1_ASM76455v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP009574.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1547445,1547445,Francisella sp. FSC1006,Proteobacteria,Proteobacteria-Gammaproteobacteria,2015987,3,32,No-LigD-domains
GCF_001022055.1_ASM102205v1,NA-Ku,NA-LigD,NZ_CP011583.1@NZ_CP011582.1,NZ_CP011584.1,2,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,550,550,Enterobacter cloacae strain CAV1668 plasmid pKPC_CAV1668,Proteobacteria,Proteobacteria-Gammaproteobacteria,4876110,8,55,No-LigD-domains
GCF_000193595.2_ASM19359v3,NA-Ku,NA-LigD,NA-plasmid,NZ_CP009751.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,743277,520,Bordetella pertussis B1917,Proteobacteria,Proteobacteria-Betaproteobacteria,4102186,3,68,No-LigD-domains
GCF_001700965.1_ASM170096v1,WP_062172023.1:10-196,"WP_062166285.1,lig:80-225;WP_062165881.1,pe:5-157|lig:231-526|pol:561-798;WP_062167727.1,lig:227-463",NA-plasmid,NZ_CP016756.1,0,1,-,WP_062172023.1,-,-,WP_062165881.1;WP_062166285.1;WP_062167727.1,-,Yes-NHEJ,3,83617,83617,Stenotrophomonas nitritireducens strain 2001,Proteobacteria,Proteobacteria-Gammaproteobacteria,4541729,4,64,Yes-NHEJ-all-same-prot
GCF_000756615.1_ASM75661v1,WP_042205493.1:9-192,"WP_042205491.1,pol:16-253;WP_042205492.1,lig:15-298",NZ_CP009289.1,NZ_CP009288.1,1,1,-,WP_042205493.1,-,-,WP_042205491.1;WP_042205492.1,-,Yes-NHEJ,3,44251,44251,Paenibacillus durus strain DSM 1735 plasmid,Firmicutes,Firmicutes-Bacilli,6038347,9,51,Yes-NHEJ-lig-pol-diff-prot
GCF_000498675.1_ASM49867v1,NA-Ku,NA-LigD,NA-plasmid,NC_022909.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1408186,33959,Lactobacillus johnsonii N6.2,Firmicutes,Firmicutes-Bacilli,1887251,4,34,No-LigD-domains
GCF_001902195.1_ASM190219v1,NA-Ku,NA-LigD,NZ_CP018431.1@NZ_CP018429.1@NZ_CP018432.1@NZ_CP018430.1,NZ_CP018428.1,4,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,573,573,Klebsiella pneumoniae strain MNCRE78 plasmid pMNCRE78_4,Proteobacteria,Proteobacteria-Gammaproteobacteria,5454003,8,57,No-LigD-domains
GCF_000784945.1_ASM78494v1,NA-Ku,NA-LigD,NZ_CP009864.1@NZ_CP009865.1,NZ_CP009863.1,2,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,72407,573,Klebsiella pneumoniae subsp. pneumoniae strain KPNIH29 plasmid pKPN-80a,Proteobacteria,Proteobacteria-Gammaproteobacteria,5298647,8,57,No-LigD-domains
GCF_001579965.1_ASM157996v1,NA-Ku,NA-LigD,NZ_CP012141.1@NZ_CP012142.1@NZ_CP012143.1,NZ_CP012140.1,3,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1617964,623,Shigella flexneri 4c strain 1205 plasmid 1205p3,Proteobacteria,Proteobacteria-Gammaproteobacteria,4683636,7,51,No-LigD-domains
GCF_000512955.1_ASM51295v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP000574.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,427140,1245,Leuconostoc mesenteroides KFRI-MG,Firmicutes,Firmicutes-Bacilli,1896413,4,38,No-LigD-domains
GCF_001652565.1_ASM165256v1,WP_064333692.1:13-176;WP_064334386.1:12-179;WP_064333694.1:16-178;WP_064334387.1:13-175,"WP_064334390.1,pe:7-164|lig:249-544|pol:583-826;WP_064329429.1,lig:223-472;WP_064334388.1,lig:44-337;WP_064333693.1,pe:8-160|lig:241-541|pol:564-807",NZ_CP015737.1@NZ_CP015738.1@NZ_CP015739.1@NZ_CP015740.1@NZ_CP015741.1@NZ_CP015742.1@NZ_CP015743.1@NZ_CP015744.1@NZ_CP015745.1@NZ_CP015746.1@NZ_CP015747.1@NZ_CP015748.1,NZ_CP015736.1,12,1,WP_064333692.1;WP_064333694.1;WP_064334386.1;WP_064334387.1,-,-,WP_064333693.1;WP_064334388.1;WP_064334390.1,WP_064329429.1,-,Yes-NHEJ,3,879274,879274,Shinella sp. HZN7 plasmid pShin-12,Proteobacteria,Proteobacteria-Alphaproteobacteria,4678597,3,65,Yes-NHEJ-all-same-prot
GCF_000833085.1_ASM83308v1,WP_000557715.1:10-194,NA-LigD,NZ_CP010087.1,NZ_CP010088.1,1,1,-,WP_000557715.1,-,-,-,NA-Lig,Ku-only,1,1428,1428,Bacillus thuringiensis strain 97-27 plasmid,Firmicutes,Firmicutes-Bacilli,5235838,14,35,No-LigD-domains
GCF_000417225.2_ASM41722v2,NA-Ku,NA-LigD,NZ_CP011979.1@NZ_CP011977.1@NZ_CP011978.1,NZ_CP011976.1,3,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1284798,573,Klebsiella pneumoniae DMC1097 plasmid pDMC1097-77.775kb,Proteobacteria,Proteobacteria-Gammaproteobacteria,5393855,8,57,No-LigD-domains
GCF_001308265.1_ASM130826v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP012023.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1397108,1397108,Celeribacter marinus strain IMCC 12053,Proteobacteria,Proteobacteria-Alphaproteobacteria,3096705,2,56,No-LigD-domains
GCF_000961415.1_ASM96141v1,WP_003489964.1:10-196,"WP_011051566.1,pe:5-157|lig:229-526|pol:586-824;WP_011050856.1,lig:227-473",NZ_CP009026.1@NZ_CP009027.1,NZ_CP009028.1,2,1,-,WP_003489964.1,-,-,WP_011050856.1;WP_011051566.1,-,Yes-NHEJ,3,611301,346,Xanthomonas citri subsp. citri strain 5208 plasmid pXAC64,Proteobacteria,Proteobacteria-Gammaproteobacteria,5175552,2,65,Yes-NHEJ-all-same-prot
GCF_000011705.1_ASM1170v1,NA-Ku,NA-LigD,NA-plasmid,NC_006348.1@NC_006349.2,0,2,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,243160,13373,Burkholderia mallei ATCC 23344 chromosome 2,Proteobacteria,Proteobacteria-Betaproteobacteria,9345675,4,68,No-LigD-domains
GCF_000013285.1_ASM1328v1,NA-Ku,NA-LigD,NA-plasmid,NC_008261.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,195103,1502,Clostridium perfringens ATCC 13124,Firmicutes,Firmicutes-Clostridia,3256683,8,28,No-LigD-domains
GCF_001651945.1_ASM165194v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP015842.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,83334,562,Escherichia coli O157:H7 strain FRIK2533,Proteobacteria,Proteobacteria-Gammaproteobacteria,5645219,7,51,No-LigD-domains
GCF_000755085.1_ASM75508v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP009096.1@NZ_CP009097.1,0,2,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,29461,29461,Brucella suis strain ZW046 chromosome 2,Proteobacteria,Proteobacteria-Alphaproteobacteria,5674701,2,57,No-LigD-domains
GCF_000452385.2_ASM45238v2,NA-Ku,NA-LigD,NA-plasmid,NZ_CP012409.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1381115,1280,Staphylococcus aureus subsp. aureus Tager 104,Firmicutes,Firmicutes-Bacilli,2820837,7,33,No-LigD-domains
GCF_000010445.1_ASM1044v1,NA-Ku,NA-LigD,NA-plasmid,NC_009782.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,418127,1280,Staphylococcus aureus subsp. aureus Mu3 DNA,Firmicutes,Firmicutes-Bacilli,2880168,5,33,No-LigD-domains
GCF_000970665.2_ASM97066v2,NA-Ku,NA-LigD,NA-plasmid,NZ_CP017295.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1302,1302,Streptococcus gordonii strain IE35,Firmicutes,Firmicutes-Bacilli,2190105,2,40,No-LigD-domains
GCF_001648215.1_ASM164821v1,NA-Ku,NA-LigD,NZ_CP014758.1@NZ_CP014756.1@NZ_CP014757.1,NZ_CP014755.1,3,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,573,573,Klebsiella pneumoniae strain AATZP plasmid pNDM-1fa,Proteobacteria,Proteobacteria-Gammaproteobacteria,5353110,8,57,No-LigD-domains
GCF_000833315.1_ASM83331v1,NA-Ku,NA-LigD,NZ_CP009446.1@NZ_CP009445.1,NZ_CP009444.1,2,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,28110,28110,Francisella philomiragia strain GA01-2801 plasmid pFPK_2,Proteobacteria,Proteobacteria-Gammaproteobacteria,2022507,3,33,No-LigD-domains
GCF_001042595.1_ASM104259v1,NA-Ku,NA-LigD,NA-plasmid,NZ_AP012326.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1150423,1689,Bifidobacterium dentium JCM 1195 = DSM 20436 DNA,Actinobacteria,Actinobacteria-Bifidobacteriales,2635669,4,59,No-LigD-domains
GCF_000455605.1_GPTSA100-9,NA-Ku,NA-LigD,NA-plasmid,NC_017025.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1094466,312277,Flavobacterium indicum GPTSA100-9 complete genome,Bacteroidetes,Bacteroidetes-Flavobacteriia,2993089,4,31,No-LigD-domains
GCF_000025465.1_ASM2546v1,NA-Ku,NA-LigD,NA-plasmid,NC_013850.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,640131,244366,Klebsiella variicola At-22,Proteobacteria,Proteobacteria-Gammaproteobacteria,5458505,8,58,No-LigD-domains
GCF_000014045.1_ASM1404v1,NA-Ku,"WP_011568052.1,lig:221-459",NC_008386.1@NC_008387.1@NC_008388.1@NC_008389.1,NC_008209.1,4,1,-,-,NA-Ku,-,WP_011568052.1,-,Lig-only,2,375451,2434,Roseobacter denitrificans OCh 114 plasmid pTB4,Proteobacteria,Proteobacteria-Alphaproteobacteria,4133097,1,59,LigD-only-lig-no-pol
GCF_001870205.1_ASM187020v1,NA-Ku,NA-LigD,NZ_CP017268.1,NZ_CP017267.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,519472,519472,Vagococcus teuberi strain DSM21459T plasmid pTB1 sequence,Firmicutes,Firmicutes-Bacilli,2169060,6,34,No-LigD-domains
GCF_000520875.1_ASM52087v1,WP_025418418.1:13-178;WP_003570402.1:19-179;WP_003570404.1:13-186;WP_025418419.1:13-177,"WP_025418861.1,pe:8-165|lig:251-546|pol:587-830;WP_025418952.1,pol:12-254;WP_025417204.1,lig:52-342;WP_025415638.1,lig:224-473;WP_025418875.1,lig:45-338;WP_025416039.1,lig:46-339;WP_025418387.1,lig:23-310",NZ_CP007068.1@NZ_CP007069.1@NZ_CP007070.1,NZ_CP007067.1,3,1,WP_025418418.1;WP_025418419.1,WP_003570404.1;WP_003570402.1,-,WP_025418387.1;WP_025418861.1;WP_025418875.1;WP_025418952.1,WP_025415638.1;WP_025416039.1;WP_025417204.1,-,Yes-NHEJ,3,1033991,384,Rhizobium leguminosarum bv. trifolii CB782 plasmid,Proteobacteria,Proteobacteria-Alphaproteobacteria,4378440,3,61,Yes-NHEJ-all-same-prot
GCF_000069225.1_ASM6922v1,WP_012298555.1:9-189,NA-LigD,NC_010399.1@NC_010408.1,NC_010407.1,2,1,-,WP_012298555.1,-,-,-,NA-Lig,Ku-only,1,31964,28447,Clavibacter michiganensis subsp. sepedonicus plasmid pCSL1,Actinobacteria,Actinobacteria-Micrococcales,3258645,2,73,No-LigD-domains
GCF_000445995.2_ASM44599v2,NA-Ku,NA-LigD,NC_022092.1,NC_022080.4,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1921421,1921421,Geobacillus genomosp. 3 strain JF8 plasmid pBt40,Firmicutes,Firmicutes-Bacilli,3446630,10,53,No-LigD-domains
GCF_000063605.1_ASM6360v1,NA-Ku,NA-LigD,NA-plasmid,NC_009497.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,347257,2110,Mycoplasma agalactiae PG2 chromosome,Tenericutes,Tenericutes-Mollicutes,877438,2,30,No-LigD-domains
GCF_000017485.1_ASM1748v1,NA-Ku,"WP_011990958.1,lig:106-229",NA-plasmid,NC_009707.1,0,1,-,-,NA-Ku,-,WP_011990958.1,-,Lig-only,2,360109,197,Campylobacter jejuni subsp. doylei 269.97,Proteobacteria,Proteobacteria-Epsilonproteobacteria,1845106,3,31,LigD-only-lig-no-pol
GCF_000212395.1_ASM21239v1,NA-Ku,"WP_052296034.1,lig:246-531",NA-plasmid,NC_015499.1,0,1,-,-,NA-Ku,-,WP_052296034.1,-,Lig-only,2,747365,184064,Thermodesulfobium narugense DSM 14796,Firmicutes,Firmicutes-Clostridia,1898865,2,34,LigD-only-lig-no-pol
GCF_000010725.1_ASM1072v1,NA-Ku,"WP_042443378.1,lig:219-459",NC_013855.1@NC_013856.1@NC_013857.1@NC_013858.1@NC_013859.1@NC_013860.1,NC_013854.1,6,1,-,-,NA-Ku,-,WP_042443378.1,-,Lig-only,2,137722,193,Azospirillum sp. B510 plasmid pAB510f DNA,Proteobacteria,Proteobacteria-Alphaproteobacteria,3311395,9,68,LigD-only-lig-no-pol
GCF_000959625.1_ASM95962v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP010065.1@NZ_CP010066.1,0,2,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,13373,13373,Burkholderia mallei strain 2002721276 chromosome 2,Proteobacteria,Proteobacteria-Betaproteobacteria,9323375,4,68,No-LigD-domains
GCF_001697245.1_ASM169724v1,WP_065820827.1:9-191,"WP_015485024.1,pol:7-245;WP_015359275.1,lig:17-301",NA-plasmid,NZ_CP014672.1,0,1,-,WP_065820827.1,-,-,WP_015485024.1;WP_015359275.1,-,Yes-NHEJ,3,1121336,1510,[Clostridium] stercorarium subsp. thermolacticum DSM 2910,Firmicutes,Firmicutes-Clostridia,3035622,3,42,Yes-NHEJ-lig-pol-diff-prot
GCF_000277775.2_ASM27777v2,WP_005116198.1:10-189,"WP_005063087.1,lig:11-259;WP_005071478.1,pol:9-252;WP_014850313.1,pe:314-462|lig:495-778|pol:26-275;WP_005063089.1,pol:15-264",NA-plasmid,NC_018150.2,0,1,-,WP_005116198.1,-,-,WP_005071478.1;WP_014850313.1;WP_005063089.1;WP_005063087.1,-,Yes-NHEJ,3,1198627,36809,Mycobacterium massiliense str. GO 06,Actinobacteria,Actinobacteria-Corynebacteriales,4687873,1,64,Yes-NHEJ-all-same-prot
GCF_001506745.1_ASM150674v1,NA-Ku,"WP_002869692.1,lig:106-229",NA-plasmid,NZ_CP010503.1,0,1,-,-,NA-Ku,-,WP_002869692.1,-,Lig-only,2,197,197,Campylobacter jejuni strain CJ677CC039,Proteobacteria,Proteobacteria-Epsilonproteobacteria,1635627,1,30,LigD-only-lig-no-pol
GCF_001559215.1_ASM155921v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP014029.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,548,548,Enterobacter aerogenes strain FDAARGOS_152,Proteobacteria,Proteobacteria-Gammaproteobacteria,5317047,8,55,No-LigD-domains
GCF_001506445.1_ASM150644v1,NA-Ku,"WP_002869692.1,lig:106-229",NA-plasmid,NZ_CP010488.1,0,1,-,-,NA-Ku,-,WP_002869692.1,-,Lig-only,2,197,197,Campylobacter jejuni strain CJ677CC092,Proteobacteria,Proteobacteria-Epsilonproteobacteria,1632718,1,30,LigD-only-lig-no-pol
GCF_001886935.1_ASM188693v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP016628.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,562,562,Escherichia coli strain FORC_041,Proteobacteria,Proteobacteria-Gammaproteobacteria,4867152,7,51,No-LigD-domains
GCF_000024505.1_ASM2450v1,NA-Ku,NA-LigD,NA-plasmid,NC_013532.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,574556,769,Anaplasma centrale str. Israel,Proteobacteria,Proteobacteria-Alphaproteobacteria,1206806,1,50,No-LigD-domains
GCF_000015105.1_ASM1510v1,NA-Ku,NA-LigD,NA-plasmid,NC_008610.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,413404,386487,Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica),Proteobacteria,Proteobacteria-Gammaproteobacteria,1160782,1,34,No-LigD-domains
GCF_001636235.1_ASM163623v1,NA-Ku,NA-LigD,NZ_CP015365.1@NZ_CP015366.1,NZ_CP015364.1,2,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,470,470,Acinetobacter baumannii strain 3207 plasmid pAba3207b,Proteobacteria,Proteobacteria-Gammaproteobacteria,3998012,6,39,No-LigD-domains
GCF_000754375.1_ASM75437v1,NA-Ku,NA-LigD,NZ_CP008927.1,NZ_CP008928.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,149539,28901,Salmonella enterica subsp. enterica serovar Enteritidis strain SEJ plasmid,Proteobacteria,Proteobacteria-Gammaproteobacteria,4678927,7,52,No-LigD-domains
GCF_000330885.1_ASM33088v1,WP_015343876.1:13-175;WP_015343874.1:12-194,"WP_051043396.1,pol:14-257;WP_028755184.1,lig:22-103;WP_004120011.1,lig:45-338;WP_015343875.1,pe:5-161|lig:250-548|pol:570-811;WP_041677286.1,lig:224-473",NC_020060.1@NC_020061.1@NC_020062.1,NC_020059.1,3,1,WP_015343874.1;WP_015343876.1,-,-,WP_004120011.1;WP_028755184.1;WP_051043396.1;WP_015343875.1,WP_041677286.1,-,Yes-NHEJ,3,698761,398,Rhizobium tropici CIAT 899 plasmid pRtrCIAT899c,Proteobacteria,Proteobacteria-Alphaproteobacteria,3837060,3,60,Yes-NHEJ-all-same-prot
GCF_000010825.1_ASM1082v1,NA-Ku,NA-LigD,NC_013210.1@NC_013211.1@NC_013212.1@NC_013213.1@NC_013214.1@NC_013215.1,NC_013209.1,6,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,634452,438,Acetobacter pasteurianus IFO 3283-01 plasmid pAPA01-060 DNA,Proteobacteria,Proteobacteria-Alphaproteobacteria,2907495,5,53,No-LigD-domains
GCF_000801275.2_ASM80127v1,NA-Ku,"WP_022550665.1,lig:113-220",NA-plasmid,NC_022528.1@NC_022543.1,0,2,-,-,NA-Ku,-,WP_022550665.1,-,Lig-only,2,28173,28173,Vibrio nigripulchritudo str. SFn1 chromosome,Proteobacteria,Proteobacteria-Gammaproteobacteria,10431895,8,46,LigD-only-lig-no-pol
GCF_000770175.1_ASM77017v1,WP_005116198.1:10-189,"WP_005063087.1,lig:11-259;WP_005071478.1,pol:9-252;WP_014850313.1,pe:314-462|lig:495-778|pol:26-275;WP_005063089.1,pol:15-264",NA-plasmid,NZ_CP009615.1,0,1,-,WP_005116198.1,-,-,WP_005071478.1;WP_014850313.1;WP_005063089.1;WP_005063087.1,-,Yes-NHEJ,3,1185650,36809,Mycobacterium abscessus strain DJO-44274,Actinobacteria,Actinobacteria-Corynebacteriales,4686331,1,64,Yes-NHEJ-all-same-prot
GCF_001013565.1_BPD420,NA-Ku,NA-LigD,NA-plasmid,NZ_LN849008.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,520,520,Bordetella pertussis genome assembly BPD420,Proteobacteria,Proteobacteria-Betaproteobacteria,4106389,3,68,No-LigD-domains
GCF_000252975.1_ASM25297v1,NA-Ku,NA-LigD,NA-plasmid,NC_016011.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,881621,1638,Listeria ivanovii subsp. ivanovii PAM 55,Firmicutes,Firmicutes-Bacilli,2928879,6,37,No-LigD-domains
GCF_001889505.1_ASM188950v1,NA-Ku,"WP_072572277.1,lig:223-466",NA-plasmid,NZ_CP018191.1,0,1,-,-,NA-Ku,-,WP_072572277.1,-,Lig-only,2,364410,364410,Granulibacter bethesdensis strain NIH9.1,Proteobacteria,Proteobacteria-Alphaproteobacteria,2738876,3,59,LigD-only-lig-no-pol
