From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Proteomes
A0A045JVF3	A0A045JVF3	unreviewed	A0A045JVF3_MYCTX	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (EC 2.1.1.n11) (EC 3.2.2.21) (Regulatory protein AlkA)	alkA ERS007679_03445 ERS027646_01484 J8J21_14380	Mycobacterium tuberculosis	496	UP000045842: Unassembled WGS sequence; UP000048948: Unassembled WGS sequence; UP000671119: Unassembled WGS sequence
A0A051TXH2	A0A051TXH2	unreviewed	A0A051TXH2_9MYCO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	K875_04458	Mycobacterium [tuberculosis] TKK-01-0051	495	UP000025947: Unassembled WGS sequence
A0A059MIX2	A0A059MIX2	unreviewed	A0A059MIX2_9NOCA	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	OCS65_04320 RAJCM14343_3885	Rhodococcus aetherivorans	287	UP000325466: Unassembled WGS sequence; UP001163947: Chromosome
A0A059XVB5	A0A059XVB5	unreviewed	A0A059XVB5_9BACT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	Y981_08365	Leptospirillum ferriphilum YSK	479	UP000027059: Chromosome
A0A060UPV8	A0A060UPV8	unreviewed	A0A060UPV8_9PROT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	AFERRI_10376 AFERRI_400097	Acidithiobacillus ferrivorans	489	UP000029069: Unassembled WGS sequence; UP000193925: Chromosome aferri
A0A060ZQP4	A0A060ZQP4	unreviewed	A0A060ZQP4_9ACTN	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (EC 2.1.1.n11) (EC 3.2.2.21) (Regulatory protein AlkA)	J2Z30_002062 SIRAN2621	Streptomyces iranensis	491	UP000756710: Unassembled WGS sequence
A0A061A3L5	A0A061A3L5	unreviewed	A0A061A3L5_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	J2Z30_005304 SIRAN9408	Streptomyces iranensis	505	UP000756710: Unassembled WGS sequence
A0A061JLE6	A0A061JLE6	unreviewed	A0A061JLE6_STUST	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	B597_014740	Stutzerimonas stutzeri KOS6	291	UP000026923: Unassembled WGS sequence
A0A061KNY7	A0A061KNY7	unreviewed	A0A061KNY7_ECOLX	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA BGM66_002832 BvCmsKKP061_03681 DNQ45_13975 GP944_12945	Escherichia coli	282	UP000249482: Unassembled WGS sequence; UP000303027: Unassembled WGS sequence; UP000441160: Unassembled WGS sequence; UP000521991: Unassembled WGS sequence
A0A061YAU8	A0A061YAU8	unreviewed	A0A061YAU8_ECOLX	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA GRC73_02405 HIE29_002727 OGM49_15565 R8O40_004156	Escherichia coli	282	UP000843571: Unassembled WGS sequence; UP001180189: Chromosome; UP001285616: Unassembled WGS sequence
A0A064CLI7	A0A064CLI7	unreviewed	A0A064CLI7_9MYCO	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (EC 2.1.1.n11) (EC 3.2.2.21) (Regulatory protein AlkA)	Y900_020245	Mycolicibacterium aromaticivorans JS19b1 = JCM 16368	496	UP000022835: Unassembled WGS sequence
A0A066RSI7	A0A066RSI7	unreviewed	A0A066RSI7_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EA58_01430	Photobacterium galatheae	468	UP000027192: Unassembled WGS sequence
A0A066TY31	A0A066TY31	unreviewed	A0A066TY31_9PSEU	DNA-3-methyladenine glycosylase	DV20_30395	Amycolatopsis rifamycinica	457	UP000027345: Unassembled WGS sequence
A0A066U5Q3	A0A066U5Q3	unreviewed	A0A066U5Q3_9PSEU	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	DV20_24715	Amycolatopsis rifamycinica	486	UP000027345: Unassembled WGS sequence
A0A066U6K1	A0A066U6K1	unreviewed	A0A066U6K1_9PSEU	AraC family transcriptional regulator	DV20_08190	Amycolatopsis rifamycinica	461	UP000027345: Unassembled WGS sequence
A0A066UQ79	A0A066UQ79	unreviewed	A0A066UQ79_9VIBR	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	VFDL14_10735	Vibrio fortis	478	UP000027219: Unassembled WGS sequence
A0A066Z7R7	A0A066Z7R7	unreviewed	A0A066Z7R7_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	KCH_19970	Kitasatospora cheerisanensis KCTC 2395	510	UP000027178: Unassembled WGS sequence
A0A068R644	A0A068R644	unreviewed	A0A068R644_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	XPG1_2729	Xenorhabdus poinarii G6	290	UP000032735: Chromosome
A0A069P8A1	A0A069P8A1	unreviewed	A0A069P8A1_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BG57_11020	Caballeronia grimmiae	307	UP000027439: Unassembled WGS sequence
A0A069PIR8	A0A069PIR8	unreviewed	A0A069PIR8_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BG61_29945	Caballeronia glathei	315	UP000027466: Unassembled WGS sequence
A0A071M716	A0A071M716	unreviewed	A0A071M716_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	DT99_25840	Burkholderia cenocepacia	319	
A0A071MD42	A0A071MD42	unreviewed	A0A071MD42_9BURK	Ada	DT99_16030	Burkholderia cenocepacia	490	
A0A072TDA0	A0A072TDA0	unreviewed	A0A072TDA0_MEDTR	DNA-3-methyladenine glycosylase II	MTR_1307s0010	Medicago truncatula (Barrel medic) (Medicago tribuloides)	305	UP000002051: Unassembled WGS sequence
A0A075K8K4	A0A075K8K4	unreviewed	A0A075K8K4_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	HY57_15445	Dyella japonica A8	497	UP000027987: Chromosome
A0A075P0P4	A0A075P0P4	unreviewed	A0A075P0P4_9ALTE	Ada regulatory protein	EP13_18225	Alteromonas australica	467	UP000056090: Chromosome
A0A075UII3	A0A075UII3	unreviewed	A0A075UII3_9PSEU	HTH araC/xylS-type domain-containing protein	AJAP_04750	Amycolatopsis japonica	481	UP000028492: Chromosome
A0A075UWX0	A0A075UWX0	unreviewed	A0A075UWX0_9PSEU	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA AJAP_20150	Amycolatopsis japonica	487	UP000028492: Chromosome
A0A076EUE6	A0A076EUE6	unreviewed	A0A076EUE6_RHOOP	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EP51_31215	Rhodococcus opacus (Nocardia opaca)	283	UP000028488: Chromosome
A0A076MZ62	A0A076MZ62	unreviewed	A0A076MZ62_AMYME	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA AMETH_5841	Amycolatopsis methanolica 239	500	UP000062973: Chromosome
A0A077AUN0	A0A077AUN0	unreviewed	A0A077AUN0_9PROT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	ID47_04150	Candidatus Odyssella acanthamoebae	480	UP000028926: Chromosome
A0A077FBG6	A0A077FBG6	unreviewed	A0A077FBG6_9PSED	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	PSAKL28_28430	Pseudomonas alkylphenolica	305	UP000028931: Chromosome
A0A077JXI7	A0A077JXI7	unreviewed	A0A077JXI7_PSEAI	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	GNQ48_01120 L4V69_22310	Pseudomonas aeruginosa	297	UP000433532: Unassembled WGS sequence; UP001297540: Chromosome
A0A077QGB1	A0A077QGB1	unreviewed	A0A077QGB1_XENBV	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	XBI1_840002	Xenorhabdus bovienii str. Intermedium	453	UP000028480: Unassembled WGS sequence
A0A078LFD5	A0A078LFD5	unreviewed	A0A078LFD5_CITKO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA BN1086_00740 NCTC11075_00960	Citrobacter koseri (Citrobacter diversus)	289	UP000270272: Chromosome
A0A078MQR3	A0A078MQR3	unreviewed	A0A078MQR3_9MICC	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA BN1051_00464	Arthrobacter saudimassiliensis	580	
A0A080LWM7	A0A080LWM7	unreviewed	A0A080LWM7_9PROT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA_2 AW09_001675	Candidatus Accumulibacter phosphatis	522	UP000020077: Unassembled WGS sequence
A0A080MJP9	A0A080MJP9	unreviewed	A0A080MJP9_9PROT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA_2 AW06_001308	Candidatus Accumulibacter cognatus	522	UP000021315: Unassembled WGS sequence
A0A081B762	A0A081B762	unreviewed	A0A081B762_9HYPH	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	M2A_0379	Tepidicaulis marinus	304	UP000028702: Unassembled WGS sequence
A0A081K8H0	A0A081K8H0	unreviewed	A0A081K8H0_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	GV64_06595	Endozoicomonas elysicola	288	UP000027997: Unassembled WGS sequence
A0A081XYD7	A0A081XYD7	unreviewed	A0A081XYD7_STRTO	AraC family transcriptional regulator	BU52_00510	Streptomyces toyocaensis	462	UP000028341: Unassembled WGS sequence
A0A081XYX9	A0A081XYX9	unreviewed	A0A081XYX9_STRTO	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (EC 2.1.1.n11) (EC 3.2.2.21) (Regulatory protein AlkA)	BU52_01505	Streptomyces toyocaensis	493	UP000028341: Unassembled WGS sequence
A0A084IGL9	A0A084IGL9	unreviewed	A0A084IGL9_SALHC	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	C41B8_17823	Salinisphaera hydrothermalis (strain C41B8)	481	UP000028302: Unassembled WGS sequence
A0A084SNH7	A0A084SNH7	unreviewed	A0A084SNH7_9BACT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	Q664_30990	Archangium violaceum Cb vi76	485	UP000028547: Unassembled WGS sequence
A0A084Y128	A0A084Y128	unreviewed	A0A084Y128_9PROT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA_1 CAPSK01_002276	Candidatus Accumulibacter vicinus	523	UP000019812: Unassembled WGS sequence
A0A084ZLS9	A0A084ZLS9	unreviewed	A0A084ZLS9_9ENTR	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA GTGU_04495	Trabulsiella guamensis ATCC 49490	282	UP000028630: Unassembled WGS sequence
A0A085G8A9	A0A085G8A9	unreviewed	A0A085G8A9_EWIA3	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	GEAM_2584	Ewingella americana (strain ATCC 33852 / DSM 4580 / CCUG 14506 / JCM 5911 / LMG 7869 / NCTC 12157 / CDC 1468-78)	277	UP000028640: Unassembled WGS sequence
A0A085G9Y2	A0A085G9Y2	unreviewed	A0A085G9Y2_9ENTR	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA GBAG_2638	Buttiauxella agrestis ATCC 33320	281	UP000028653: Unassembled WGS sequence
A0A085JCA0	A0A085JCA0	unreviewed	A0A085JCA0_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	GTPT_2828	Tatumella ptyseos ATCC 33301	490	UP000028602: Unassembled WGS sequence
A0A085WVV4	A0A085WVV4	unreviewed	A0A085WVV4_9BACT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	DB31_0078	Hyalangium minutum	405	UP000028725: Unassembled WGS sequence
A0A086MV65	A0A086MV65	unreviewed	A0A086MV65_9ACTN	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (EC 2.1.1.n11) (EC 3.2.2.21) (Regulatory protein AlkA)	FM21_18060	Streptomyces mutabilis	490	UP000029095: Unassembled WGS sequence
A0A086MVV7	A0A086MVV7	unreviewed	A0A086MVV7_9ACTN	AraC family transcriptional regulator	FM21_19470	Streptomyces mutabilis	470	UP000029095: Unassembled WGS sequence
A0A089NQG8	A0A089NQG8	unreviewed	A0A089NQG8_9HYPH	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	MOC_2416	Methylobacterium oryzae CBMB20	297	UP000029492: Chromosome
A0A089Q3P4	A0A089Q3P4	unreviewed	A0A089Q3P4_9ENTR	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	JT31_20310	Cedecea neteri	281	UP000029481: Chromosome
A0A089XJ62	A0A089XJ62	unreviewed	A0A089XJ62_STRGA	ADA-like regulatory protein	SGLAU_26485	Streptomyces glaucescens	470	UP000029482: Chromosome
A0A089YNE2	A0A089YNE2	unreviewed	A0A089YNE2_9PSED	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	LT40_06590	Pseudomonas rhizosphaerae	308	UP000029499: Chromosome
A0A089Z6I6	A0A089Z6I6	unreviewed	A0A089Z6I6_STRGA	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (EC 2.1.1.n11) (EC 3.2.2.21) (Regulatory protein AlkA)	alkA SGLAU_27190	Streptomyces glaucescens	497	UP000029482: Chromosome
A0A090NFM5	A0A090NFM5	unreviewed	A0A090NFM5_SHIDY	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	WRSd3_02552	Shigella dysenteriae WRSd3	282	UP000017944: Unassembled WGS sequence
A0A090QQB2	A0A090QQB2	unreviewed	A0A090QQB2_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	JCM19237_1110	Photobacterium aphoticum	469	UP000029227: Unassembled WGS sequence
A0A090S1P7	A0A090S1P7	unreviewed	A0A090S1P7_9VIBR	ADA regulatory protein	JCM19235_3416	Vibrio maritimus	328	UP000029228: Unassembled WGS sequence
A0A090TDE3	A0A090TDE3	unreviewed	A0A090TDE3_9VIBR	ADA regulatory protein	JCM19240_4497	Vibrio maritimus	316	UP000029224: Unassembled WGS sequence
A0A090VQS4	A0A090VQS4	unreviewed	A0A090VQS4_PSEVU	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA EV102420_07_02870	Pseudescherichia vulneris NBRC 102420	299	UP000029462: Unassembled WGS sequence
A0A091B001	A0A091B001	unreviewed	A0A091B001_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	N789_02365	Arenimonas oryziterrae DSM 21050 = YC6267	488	UP000029385: Unassembled WGS sequence
A0A094JBB0	A0A094JBB0	unreviewed	A0A094JBB0_9GAMM	HTH araC/xylS-type domain-containing protein	HR45_12445	Shewanella mangrovi	487	UP000029264: Unassembled WGS sequence
A0A094WB15	A0A094WB15	unreviewed	A0A094WB15_9BACT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BOX24_03650 LptCag_1691	Leptospirillum ferriphilum	477	UP000029452: Unassembled WGS sequence; UP000188586: Unassembled WGS sequence
A0A095VFJ4	A0A095VFJ4	unreviewed	A0A095VFJ4_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	HA49_09335	Tatumella morbirosei	484	UP000029577: Unassembled WGS sequence
A0A097R591	A0A097R591	unreviewed	A0A097R591_HAFAL	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	AT03_16835	Hafnia alvei FB1	478	UP000029986: Chromosome
A0A098BTF3	A0A098BTF3	unreviewed	A0A098BTF3_9NOCA	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	RHRU231_840019	Rhodococcus ruber	285	UP000042997: Unassembled WGS sequence
A0A098Y3C2	A0A098Y3C2	unreviewed	A0A098Y3C2_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	IN07_16750	Modestobacter caceresii	500	UP000029713: Unassembled WGS sequence
A0A099CYR1	A0A099CYR1	unreviewed	A0A099CYR1_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	HNQ86_001748 LF63_0102410	Oleiagrimonas soli	488	UP000029708: Unassembled WGS sequence; UP000560000: Unassembled WGS sequence
A0A099LTD5	A0A099LTD5	unreviewed	A0A099LTD5_9VIBR	3-methyladenine DNA glycosylase	EA26_08595	Vibrio navarrensis	455	UP000029994: Unassembled WGS sequence
A0A0A0BAE3	A0A0A0BAE3	unreviewed	A0A0A0BAE3_9CELL	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	Q760_09485	Cellulomonas cellasea DSM 20118	281	UP000029833: Unassembled WGS sequence
A0A0A0BQD9	A0A0A0BQD9	unreviewed	A0A0A0BQD9_9CELL	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	N869_12015	Cellulomonas bogoriensis 69B4 = DSM 16987	488	UP000054314: Unassembled WGS sequence
A0A0A0BSV0	A0A0A0BSV0	unreviewed	A0A0A0BSV0_9CELL	AraC family transcriptional regulator	N868_16270	Cellulomonas carbonis T26	332	UP000029839: Unassembled WGS sequence
A0A0A0D4I1	A0A0A0D4I1	unreviewed	A0A0A0D4I1_9PROT	AraC family transcriptional regulator	P409_18605	Inquilinus limosus MP06	340	UP000029995: Unassembled WGS sequence
A0A0A0EVZ9	A0A0A0EVZ9	unreviewed	A0A0A0EVZ9_9GAMM	HTH araC/xylS-type domain-containing protein	N800_08005	Lysobacter daejeonensis GH1-9	312	UP000029998: Unassembled WGS sequence
A0A0A0NIL9	A0A0A0NIL9	unreviewed	A0A0A0NIL9_STRRN	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (EC 2.1.1.n11) (EC 3.2.2.21) (Regulatory protein AlkA)	D3C57_130260	Streptomyces rapamycinicus (strain ATCC 29253 / DSM 41530 / NRRL 5491 / AYB-994) (Streptomyces hygroscopicus (strain ATCC 29253))	491	UP000281594: Unassembled WGS sequence
A0A0A0NMY2	A0A0A0NMY2	unreviewed	A0A0A0NMY2_STRRN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	D3C57_147090	Streptomyces rapamycinicus (strain ATCC 29253 / DSM 41530 / NRRL 5491 / AYB-994) (Streptomyces hygroscopicus (strain ATCC 29253))	501	UP000281594: Unassembled WGS sequence
A0A0A1A6L0	A0A0A1A6L0	unreviewed	A0A0A1A6L0_ECOLX	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA EIA08_04920 G5603_05555 HL601_00040 HVW04_00260	Escherichia coli	285	UP000271008: Unassembled WGS sequence; UP000472856: Unassembled WGS sequence; UP000514715: Chromosome
A0A0A1DNY0	A0A0A1DNY0	unreviewed	A0A0A1DNY0_NOCSI	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	KR76_18470	Nocardioides simplex (Arthrobacter simplex)	490	UP000030300: Chromosome
A0A0A1FHL1	A0A0A1FHL1	unreviewed	A0A0A1FHL1_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	LT85_4913	Collimonas arenae	529	UP000030302: Chromosome
A0A0A1YE81	A0A0A1YE81	unreviewed	A0A0A1YE81_9PSED	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	TMS3_0122905	Pseudomonas taeanensis MS-3	294	UP000030063: Unassembled WGS sequence
A0A0A1YSQ4	A0A0A1YSQ4	unreviewed	A0A0A1YSQ4_PSEFL	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	K814_0132025	Pseudomonas fluorescens LMG 5329	287	UP000030060: Unassembled WGS sequence
A0A0A2W6A4	A0A0A2W6A4	unreviewed	A0A0A2W6A4_BEABA	DNA-3-methyladenine glycosylase 2	BBAD15_g63	Beauveria bassiana D1-5	281	UP000030106: Unassembled WGS sequence
A0A0A3YVK9	A0A0A3YVK9	unreviewed	A0A0A3YVK9_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	NG99_18875	Erwinia typographi	488	UP000030351: Unassembled WGS sequence
A0A0A5HW36	A0A0A5HW36	unreviewed	A0A0A5HW36_PHOS4	3-methyladenine DNA glycosylase	NM06_02345	Photobacterium sp. (strain ATCC 43367)	453	UP000030451: Unassembled WGS sequence
A0A0A6D755	A0A0A6D755	unreviewed	A0A0A6D755_9PSED	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	NZ35_22135	Pseudomonas chlororaphis	287	UP000030564: Unassembled WGS sequence
A0A0A6UEJ0	A0A0A6UEJ0	unreviewed	A0A0A6UEJ0_ACTUT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	MB27_40620	Actinoplanes utahensis	495	UP000054537: Unassembled WGS sequence
A0A0B0D7S3	A0A0B0D7S3	unreviewed	A0A0B0D7S3_9MICC	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	AS25_12945	Kocuria marina	500	UP000030664: Unassembled WGS sequence
A0A0B0W0I4	A0A0B0W0I4	unreviewed	A0A0B0W0I4_ECOLX	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA BMT50_20700 G4A38_10645 G4A47_14110 HEP30_016050 HLZ50_21210 WR15_20630	Escherichia coli	282	UP000037564: Unassembled WGS sequence; UP000186595: Unassembled WGS sequence; UP000517067: Unassembled WGS sequence; UP000531761: Unassembled WGS sequence; UP000540485: Unassembled WGS sequence; UP000840371: Unassembled WGS sequence
A0A0B1DXA4	A0A0B1DXA4	unreviewed	A0A0B1DXA4_ECOLX	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA CQ842_02455 CQ842_16640 EN85_000089 EPS97_07255	Escherichia coli	285	UP000225264: Chromosome; UP000225264: Unassembled WGS sequence; UP000290652: Unassembled WGS sequence; UP000543257: Unassembled WGS sequence
A0A0B1RAV1	A0A0B1RAV1	unreviewed	A0A0B1RAV1_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	QU24_09335	Pantoea rodasii	495	UP000030853: Unassembled WGS sequence
A0A0B2AEB2	A0A0B2AEB2	unreviewed	A0A0B2AEB2_9MICO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	LK09_01600	Microbacterium mangrovi	498	UP000031030: Unassembled WGS sequence
A0A0B2AMA8	A0A0B2AMA8	unreviewed	A0A0B2AMA8_9MICC	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	LK10_10850	Sinomonas humi	287	UP000030982: Unassembled WGS sequence
A0A0B2BBY7	A0A0B2BBY7	unreviewed	A0A0B2BBY7_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	CLV56_3373	Mumia flava	491	UP000230842: Unassembled WGS sequence
A0A0B3BPL6	A0A0B3BPL6	unreviewed	A0A0B3BPL6_9PSED	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	PT85_02425	Pseudomonas flexibilis	296	UP000030980: Unassembled WGS sequence
A0A0B3YCP1	A0A0B3YCP1	unreviewed	A0A0B3YCP1_9ALTE	Ada regulatory protein	RJ41_13275	Alteromonas marina	459	UP000031197: Unassembled WGS sequence
A0A0B4CPY1	A0A0B4CPY1	unreviewed	A0A0B4CPY1_9MICO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	RM52_05715	Microbacterium hominis	503	UP000031202: Unassembled WGS sequence
A0A0B4D8G2	A0A0B4D8G2	unreviewed	A0A0B4D8G2_9CAUL	AraC family transcriptional regulator	RM53_03730	Brevundimonas nasdae	363	UP000031166: Unassembled WGS sequence
A0A0B4DDC1	A0A0B4DDC1	unreviewed	A0A0B4DDC1_PSEPS	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	RM50_17620	Pseudarthrobacter phenanthrenivorans (Arthrobacter phenanthrenivorans)	496	UP000031196: Unassembled WGS sequence
A0A0B5DPM5	A0A0B5DPM5	unreviewed	A0A0B5DPM5_9ACTN	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (EC 2.1.1.n11) (EC 3.2.2.21) (Regulatory protein AlkA)	CP978_27030 SNOD_26735	Streptomyces nodosus	492	UP000031526: Chromosome; UP000325763: Chromosome
A0A0B5EQ00	A0A0B5EQ00	unreviewed	A0A0B5EQ00_STRA4	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (EC 2.1.1.n11) (EC 3.2.2.21) (Regulatory protein AlkA)	SLNWT_0475	Streptomyces albus (strain ATCC 21838 / DSM 41398 / FERM P-419 / JCM 4703 / NBRC 107858)	487	UP000031523: Chromosome
A0A0B5ESI4	A0A0B5ESI4	unreviewed	A0A0B5ESI4_STRA4	AraC family transcriptional regulator	SLNWT_0716	Streptomyces albus (strain ATCC 21838 / DSM 41398 / FERM P-419 / JCM 4703 / NBRC 107858)	475	UP000031523: Chromosome
A0A0B5FI93	A0A0B5FI93	unreviewed	A0A0B5FI93_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EJE83_00915 PAP18089_01472	Pandoraea apista	495	UP000270216: Unassembled WGS sequence; UP000364291: Unassembled WGS sequence
A0A0B5I669	A0A0B5I669	unreviewed	A0A0B5I669_9ACTN	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (EC 2.1.1.n11) (EC 3.2.2.21) (Regulatory protein AlkA)	SVTN_30700	Streptomyces vietnamensis	510	UP000031774: Chromosome
